פסוק,,,,,תוכן,תיוג,מילה נרדפת,משפט בימינו,דובר,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Deuteronomy,פרק יב,פסוק כב,*אך* כאשר יאכל את הצבי ואת האיל כן תאכלנו הטמא והטהור יחדו יאכלנו,אכן,בדיוק,בדיוק כמו ש,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק ט,פסוק ד,*אך *בשר בנפשו דמו לא תאכלו,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק ט,פסוק ה,ו*אך* את דמכם לנפשתיכם אדרש מיד כל חיה אדרשנו ומיד האדם מיד איש אחיו אדרש את נפש האדם,רק,ובלבד (בפרט),,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק יח,פסוק לב,ויאמר אל נא יחר לאדני ואדברה *אך *הפעם אולי ימצאון שם עשרה ויאמר לא אשחית בעבור העשרה,אבל,אם כי (ניגוד),,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק כ,פסוק יב,וגם אמנה אחתי בת אבי הוא *אך* לא בת אמי ותהי לי לאשה,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק כג,פסוק יג,וידבר אל עפרון באזני עם הארץ לאמר *אך* אם אתה לו שמעני נתתי כסף השדה קח ממני ואקברה את מתי שמה,אכן,״מעולה״ (הגברת הרגש),אם אתה הבעלים ושמעת - יופי סגרנו.,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק כו,פסוק ט,ויקרא אבימלך ליצחק ויאמר *אך* הנה אשתך הוא ואיך אמרת אחתי הוא ויאמר אליו יצחק כי אמרתי פן אמות עליה,אכן,כן,תפסתי אותך,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק כז,פסוק יג,ותאמר לו אמו עלי קללתך בני *אך* שמע בקלי ולך קח לי,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק כז,פסוק ל,ויהי כאשר כלה יצחק לברך את יעקב ויהי *אך* יצא יצא יעקב מאת פני יצחק אביו ועשו אחיו בא מצידו,זה עתה,עכשיו,״עוד לא הספיק לצאת״,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק כט,פסוק יד,ויאמר לו לבן *אך* עצמי ובשרי אתה וישב עמו חדש ימים,אכן,ממש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק לד,פסוק טו,*אך *בזאת נאות לכם אם תהיו כמנו להמל לכם כל זכר,רק,בלבד,"הצבת תנאי להסכם, עם מקף",,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק לד,פסוק כב,*אך *בזאת יאתו לנו האנשים לשבת אתנו להיות לעם אחד בהמול לנו כל זכר כאשר הם נמלים,רק,בלבד,"הצבת תנאי להסכם, עם מקף",,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק לד,פסוק כג,מקנהם וקנינם וכל בהמתם הלוא לנו הם *אך* נאותה להם וישבו אתנו,רק,בלבד,הצבת תנאי להסכם,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,genesis,פרק מד,פסוק כח,ויצא האחד מאתי ואמר *אך* טרף טרף ולא ראיתיו עד הנה,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק יא,פסוק ד,*אך* את זה לא תאכלו ממעלי הגרה וממפריסי הפרסה את הגמל כי מעלה גרה הוא ופרסה איננו מפריס טמא הוא לכם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק יא,פסוק כא,*אך* את זה תאכלו מכל שרץ העוף ההלך על ארבע אשר (לא) [לו] כרעים ממעל לרגליו לנתר בהן על הארץ,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק יא,פסוק לו,*אך* מעין ובור מקוה מים יהיה טהור ונגע בנבלתם יטמא,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק כא,פסוק כג,*אך* אל הפרכת לא יבא ואל המזבח לא יגש כי מום בו ולא יחלל את מקדשי כי אני יהוה מקדשם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק כג,פסוק כז,*אך* בעשור לחדש השביעי הזה יום הכפרים הוא מקרא קדש יהיה לכם ועניתם את נפשתיכם והקרבתם אשה ליהוה,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק כג,פסוק לט,*אך* בחמשה עשר יום לחדש השביעי באספכם את תבואת הארץ תחגו את חג יהוה שבעת ימים ביום הראשון שבתון וביום השמיני שבתון,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק כז,פסוק כו,*אך *בכור אשר יבכר ליהוה בבהמה לא יקדיש איש אתו אם שור אם שה ליהוה הוא,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Leviticus,פרק כז,פסוק כח,*אך *כל חרם אשר יחרם איש ליהוה מכל אשר לו מאדם ובהמה ומשדה אחזתו לא ימכר ולא יגאל כל חרם קדש קדשים הוא ליהוה,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק א,פסוק מט,*אך* את מטה לוי לא תפקד ואת ראשם לא תשא בתוך בני ישראל,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק יב,פסוק ב,ויאמרו הרק *אך *במשה דבר יהוה הלא גם בנו דבר וישמע יהוה,אכן,כן,הגברה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק יד,פסוק ט,*אך* ביהוה אל תמרדו ואתם אל תיראו את עם הארץ כי לחמנו הם סר צלם מעליהם ויהוה אתנו אל תיראם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק יח,פסוק ג,ושמרו משמרתך ומשמרת כל האהל *אך* אל כלי הקדש ואל המזבח לא יקרבו ולא ימתו גם הם גם אתם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק יח,פסוק טו,כל פטר רחם לכל בשר אשר יקריבו ליהוה באדם ובבהמה יהיה לך *אך*  פדה תפדה את בכור האדם ואת בכור הבהמה הטמאה תפדה,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק יח,פסוק יז,*אך* בכור שור או בכור כשב או בכור עז לא תפדה קדש הם את דמם תזרק על המזבח ואת חלבם תקטיר אשה לריח ניחח ליהוה,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק כב,פסוק כ,ויבא אלהים  אל בלעם לילה ויאמר לו אם לקרא לך באו האנשים קום לך אתם *ואך* את הדבר אשר אדבר אליך אתו תעשה,רק,ובלבד (בפרט),,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק כו,פסוק נה,*אך *בגורל יחלק את הארץ לשמות מטות אבתם ינחלו,אבל,אלא ש,את זה חילקתי ככה בהגינות אבל את זה בהגרלה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק לא,פסוק כב,*אך* את הזהב ואת הכסף את הנחשת את הברזל את הבדיל ואת העפרת,אכן,כן,הגברה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק לא,פסוק כג,כל דבר אשר יבא באש תעבירו באש וטהר *אך* במי נדה יתחטא וכל אשר לא יבא באש תעבירו במים,אבל,אלא ש,"אחרי שייטהר, זה מה שייחטא",,,,,,,,,,,,,,,,,,,,,
"תנ""ך",A,Numbers,פרק לו,פסוק ו,זה הדבר אשר צוה יהוה לבנות צלפחד לאמר לטוב בעיניהם תהיינה לנשים *אך* למשפחת מטה אביהם תהיינה לנשים,אבל,בניגוד לכך,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Ezekiel,פרק מו,פסוק יז,וכי יתן מתנה מנחלתו לאחד מעבדיו והיתה לו עד שנת הדרור ושבת לנשיא *אך* נחלתו בניו להם תהיה,זה עתה,כעת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Hosea,פרק ד,פסוק ד,*אך* איש אל ירב ואל יוכח איש ועמך כמריבי כהן,אכן,אומנם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Hosea,פרק יב,פסוק ט,ויאמר אפרים *אך* עשרתי מצאתי און לי כל יגיעי לא ימצאו לי עון אשר חטא,רק,בסך הכול,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Hosea,פרק יב,פסוק יב,אם גלעד און *אך *שוא היו בגלגל שורים זבחו גם מזבחותם כגלים על תלמי שדי,אבל,,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק ה,פסוק ז,ויהי כקרא מלך ישראל את הספר ויקרע בגדיו ויאמר האלהים אני להמית ולהחיות כי זה שלח אלי לאסף איש מצרעתו כי *אך *דעו נא וראו כי מתאנה הוא לי,רק,בלבד,תנאי,אלוהים,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק יב,פסוק יד,*אך* לא יעשה בית יהוה ספות כסף מזמרות מזרקות חצצרות כל כלי זהב וכלי כסף מן הכסף המובא בית יהוה,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק יג,פסוק ו,*אך* לא סרו מחטאות בית ירבעם אשר (החטי) [החטיא] את ישראל בה הלך וגם האשרה עמדה בשמרון,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק יח,פסוק כ,אמרת *אך *דבר שפתים עצה וגבורה למלחמה עתה על מי בטחת כי מרדת בי,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק כב,פסוק ז,*אך* לא יחשב אתם הכסף הנתן על ידם כי באמונה הם עשים,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק כג,פסוק ט,*אך* לא יעלו כהני הבמות אל מזבח יהוה בירושלם כי אם אכלו מצות בתוך אחיהם,אבל,אלא ש,הנגדה עם החצי השני של המשפט,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק כג,פסוק כו,*אך*  לא שב יהוה מחרון אפו הגדול אשר חרה אפו ביהודה על כל הכעסים אשר הכעיסו מנשה,אבל,אלא ש,,מספר,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק כג,פסוק לה,והכסף והזהב נתן יהויקים לפרעה *אך* העריך את הארץ לתת את הכסף על פי פרעה איש כערכו נגש את הכסף ואת הזהב את עם הארץ לתת לפרעה נכה,אכן,מאוד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Kings,פרק כד,פסוק ג,*אך*  על פי יהוה היתה ביהודה להסיר מעל פניו בחטאת מנשה ככל אשר עשה,אבל,בכל זאת,ניגוד,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Samuel,פרק ב,פסוק י,בן ארבעים שנה איש בשת בן שאול במלכו על ישראל ושתים שנים מלך *אך* בית יהודה היו אחרי דוד,אכן,כן,הגברה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Samuel,פרק ג,פסוק יג,ויאמר טוב אני אכרת אתך ברית *אך* דבר אחד אנכי שאל מאתך לאמר לא תראה את פני כי  אם לפני הביאך את מיכל בת שאול בבאך לראות את פני,רק,בלבד,רק דבר אחד מבקש,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,II_Samuel,פרק כג,פסוק י,הוא קם ויך בפלשתים עד  כי יגעה ידו ותדבק ידו אל החרב ויעש יהוה תשועה גדולה ביום ההוא והעם ישבו אחריו *אך *לפשט,רק,בכדי,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Kings,פרק ט,פסוק כד,*אך* בת פרעה עלתה מעיר דוד אל ביתה אשר בנה לה אז בנה את המלוא,זה עתה,עכשיו,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Kings,פרק יא,פסוק יב,*אך *בימיך לא אעשנה למען דוד אביך מיד בנך אקרענה,רק,בלבד,"הצבת תנאי להסכם, עם מקף",,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Kings,פרק יא,פסוק לט,ואענה את זרע דוד למען זאת *אך* לא כל הימים,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Kings,פרק יז,פסוק יג,ויאמר אליה אליהו אל תיראי באי עשי כדברך *אך* עשי לי משם עגה קטנה בראשנה והוצאת לי ולך ולבנך תעשי באחרנה,רק,בלבד,"בקטנה, עשי טובה",,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Kings,פרק כב,פסוק לב,ויהי כראות שרי הרכב את יהושפט והמה אמרו *אך* מלך ישראל הוא ויסרו עליו להלחם ויזעק יהושפט,אכן,"כן, הנה",,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Kings,פרק כב,פסוק מד,*אך* הבמות לא סרו עוד העם מזבחים ומקטרים בבמות,אבל,בניגוד לציפייה,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק א,פסוק כג,ויאמר לה אלקנה אישה עשי הטוב בעיניך שבי עד גמלך אתו *אך* יקם יהוה את דברו ותשב האשה ותינק את בנה עד גמלה אתו,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק ח,פסוק ט,ועתה שמע בקולם *אך* כי העד תעיד בהם והגדת להם משפט המלך אשר ימלך עליהם,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק יב,פסוק כ,ויאמר שמואל אל העם אל תיראו אתם עשיתם את כל הרעה הזאת *אך* אל תסורו מאחרי יהוה ועבדתם את יהוה בכל לבבכם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק יב,פסוק כד,*אך*  יראו את יהוה ועבדתם אתו באמת בכל לבבכם כי ראו את אשר הגדל עמכם,רק,בלבד,תנאי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק טז,פסוק ו,ויהי בבואם וירא את אליאב ויאמר *אך* נגד יהוה משיחו,אכן,הנה,הדגשה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק יח,פסוק ח,ויחר לשאול מאד וירע בעיניו הדבר הזה ויאמר נתנו לדוד רבבות ולי נתנו האלפים ועוד לו *אך* המלוכה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק יח,פסוק יז,ויאמר שאול אל דוד הנה בתי הגדולה מרב אתה אתן לך לאשה *אך* היה לי לבן חיל והלחם מלחמות יהוה ושאול אמר אל תהי ידי בו ותהי בו יד פלשתים,רק,בלבד,הצבת תנאי להסכם,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק כ,פסוק לט,והנער לא ידע מאומה *אך* יהונתן ודוד ידעו את הדבר,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק כא,פסוק ה,ויען הכהן את דוד ויאמר אין לחם חל אל תחת ידי כי אם לחם קדש יש אם נשמרו הנערים *אך* מאשה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק כה,פסוק כא,ודוד אמר *אך* לשקר שמרתי את כל אשר לזה במדבר ולא נפקד מכל אשר לו מאומה וישב לי רעה תחת טובה,אבל,אלא ש,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,III_Samuel,פרק כט,פסוק ט,ויען אכיש ויאמר אל דוד ידעתי כי טוב אתה בעיני כמלאך אלהים *אך* שרי פלשתים אמרו לא יעלה עמנו במלחמה,אבל,אלא ש,,הניגוד של דוד,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק יד,פסוק טו,*אך* אל שאול תורד אל ירכתי בור,רק,בלבד,,נביא,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק טז,פסוק ז,לכן ייליל מואב למואב כלה ייליל לאשישי קיר חרשת תהגו *אך *נכאים,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק יט,פסוק יא,*אך *אולים שרי צען חכמי יעצי פרעה עצה נבערה איך תאמרו אל פרעה בן חכמים אני בן מלכי קדם,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק לד,פסוק יד,ופגשו ציים את איים ושעיר על רעהו יקרא *אך *שם הרגיעה לילית ומצאה לה מנוח,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק לד,פסוק טו,שמה קננה קפוז ותמלט ובקעה ודגרה בצלה *אך *שם נקבצו דיות אשה רעותה,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק לו,פסוק ה,אמרתי *אך *דבר שפתים עצה וגבורה למלחמה עתה על מי בטחת כי מרדת בי,רק,בלבד,עם מקף,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק מג,פסוק כד,לא קנית לי בכסף קנה וחלב זבחיך לא הרויתני *אך* העבדתני בחטאותיך הוגעתני בעונתיך,רק,בלבד,תנאי,אלוהים,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק מה,פסוק יד,כה  אמר יהוה יגיע מצרים וסחר כוש וסבאים אנשי מדה עליך יעברו ולך יהיו אחריך ילכו בזקים יעברו ואליך ישתחוו אליך יתפללו *אך* בך אל ואין עוד אפס אלהים,רק,בלבד,תנאי,אלוהים,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק מה,פסוק כד,*אך* ביהוה לי אמר צדקות ועז עדיו יבוא ויבשו כל הנחרים בו,רק,בלבד,תנאי,אלוהים,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Isaiah,פרק סג,פסוק ח,ויאמר *אך *עמי המה בנים לא ישקרו ויהי להם למושיע,אכן,למרות,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ב,פסוק לה,ותאמרי כי נקיתי *אך* שב אפו ממני הנני נשפט אותך על אמרך לא חטאתי,אבל,ובכל זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ג,פסוק יג,*אך* דעי עונך כי ביהוה אלהיך פשעת ותפזרי את דרכיך לזרים תחת כל עץ רענן ובקולי לא שמעתם נאם יהוה,אבל,יחד עם זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ה,פסוק ד,ואני אמרתי *אך *דלים הם נואלו כי לא ידעו דרך יהוה משפט אלהיהם,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ה,פסוק ה,אלכה לי אל הגדלים ואדברה אותם כי המה ידעו דרך יהוה משפט אלהיהם *אך* המה יחדו שברו על נתקו מוסרות,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק י,פסוק יט,אוי לי על שברי נחלה מכתי ואני אמרתי *אך* זה חלי ואשאנו,רק,בסך הכול,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק י,פסוק כד,יסרני יהוה *אך *במשפט אל באפך פן תמעטני,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק יב,פסוק א,צדיק אתה יהוה כי אריב אליך *אך* משפטים אדבר אותך מדוע דרך רשעים צלחה שלו כל בגדי בגד,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק טז,פסוק יט,יהוה עזי ומעזי ומנוסי ביום צרה אליך גוים יבאו מאפסי ארץ ויאמרו *אך *שקר נחלו אבותינו הבל ואין בם מועיל,אכן,באמת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק כו,פסוק טו,*אך*  ידע תדעו כי אם ממתים אתם אתי כי דם נקי אתם נתנים עליכם ואל העיר הזאת ואל ישביה כי באמת שלחני יהוה עליכם לדבר באזניכם את כל הדברים האלה,אבל,יחד עם זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק כו,פסוק כד,*אך* יד אחיקם בן שפן היתה את ירמיהו לבלתי תת אתו ביד העם להמיתו,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק כח,פסוק ז,*אך *שמע נא הדבר הזה אשר אנכי דבר באזניך ובאזני כל העם,רק,בלבד?,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק ל,פסוק יא,כי אתך אני נאם יהוה להושיעך כי אעשה כלה בכל הגוים  אשר הפצותיך שם *אך* אתך לא אעשה כלה ויסרתיך למשפט ונקה לא אנקך,אבל,אולם,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק לב,פסוק ל,כי היו בני ישראל ובני יהודה *אך* עשים הרע בעיני מנערתיהם כי בני ישראל *אך* מכעסים אתי במעשה ידיהם נאם יהוה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק לב,פסוק ל,כי היו בני ישראל ובני יהודה *אך* עשים הרע בעיני מנערתיהם כי בני ישראל *אך* מכעסים אתי במעשה ידיהם נאם יהוה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jeremiah,פרק לד,פסוק ד,*אך* שמע דבר יהוה צדקיהו מלך יהודה כה אמר יהוה עליך לא תמות בחרב,זה עתה,ברגע זה,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Jonah,פרק ב,פסוק ה,ואני אמרתי נגרשתי מנגד עיניך *אך* אוסיף להביט אל היכל קדשך,אבל,יחד עם זאת,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Joshua,פרק ג,פסוק ד,*אך*  רחוק יהיה ביניכם (ובינו) [וביניו] כאלפים אמה במדה אל תקרבו אליו למען אשר תדעו את הדרך אשר תלכו בה כי לא עברתם בדרך מתמול שלשום,רק,בלבד,תהיו מאחורי הארון רק קרובים מידי,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Joshua,פרק כב,פסוק יט,*ואך* אם טמאה ארץ אחזתכם עברו לכם אל ארץ אחזת יהוה אשר שכן שם משכן יהוה והאחזו בתוכנו וביהוה אל תמרדו ואתנו אל תמרדו בבנתכם לכם מזבח מבלעדי מזבח יהוה אלהינו,רק,ובלבד (בפרט),,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק ג,פסוק כד,והוא יצא ועבדיו באו ויראו והנה דלתות העליה נעלות ויאמרו *אך* מסיך הוא את רגליו בחדר המקרה,רק,סך הכל,הקטנה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק ו,פסוק לט,ויאמר גדעון אל האלהים אל יחר אפך בי ואדברה *אך* הפעם אנסה נא רק הפעם בגזה יהי נא חרב אל הגזה לבדה ועל כל הארץ יהיה טל,רק,הפעם בלבד,הקטנה,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק ז,פסוק יט,ויבא גדעון ומאה איש אשר אתו בקצה המחנה ראש האשמרת התיכונה *אך* הקם הקימו את השמרים ויתקעו בשופרות ונפוץ הכדים אשר בידם,זה עתה,עכשיו,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק י,פסוק טו,ויאמרו בני ישראל אל יהוה חטאנו עשה אתה לנו ככל הטוב בעיניך *אך* הצילנו נא היום הזה,רק,בלבד,,,,,,,,,,,,,,,,,,,,,,
"תנ""ך",B,Judges,פרק טז,פסוק כח,ויקרא שמשון אל יהוה ויאמר אדני יהוה זכרני נא וחזקני נא *אך* הפעם הזה האלהים ואנקמה נקם אחת משתי עיני מפלשתים,רק,הפעם בלבד,הקטנה,,,,,,,,,,,,,,,,,,,,,
